num	kind	unid	bie	term	desc	name	occur	xpath
28	ヘッダ部	UN01005478	BBIE	バージョン発行日	業務領域のバージョン発行日	ram:IssueDateTime	1..1	rsm:CIExchangedDocumentContext/ram:SubsetSpecifiedCIDocumentContextParameter/ram:SpecifiedCIDocumentVersion/ram:IssueDateTime
29	ヘッダ部	UN01005861	ASMA	インボイス文書クラス	インボイス文書に関する情報項目のクラス	rsm:CIIHExchangedDocument	1..1	rsm:CIIHExchangedDocument
30	ヘッダ部	UN01005862	BBIE	インボイス文書番号	インボイス文書を識別する文書番号または文書文字列	ram:ID	1..1	rsm:CIIHExchangedDocument/ram:ID
31	ヘッダ部	UN01005863	BBIE	インボイス文書名	インボイス文書の文書名称	ram:Name	0..1	rsm:CIIHExchangedDocument/ram:Name
32	ヘッダ部	UN01005864	BBIE	インボイス文書タイプコード	インボイス文書のタイプを識別するコード\nデフォルトは「合算請求書パターン１」	ram:TypeCode	1..1	rsm:CIIHExchangedDocument/ram:TypeCode
33	ヘッダ部	UN01005865	BBIE	インボイス文書発効日	インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。	ram:IssueDateTime	1..1	rsm:CIIHExchangedDocument/ram:IssueDateTime
34	ヘッダ部	UN01005869	BBIE	インボイス文書目的コード	請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード	ram:PurposeCode	0..1	rsm:CIIHExchangedDocument/ram:PurposeCode
35	ヘッダ部	UN01005874	BBIE	インボイス文書履歴番号	インボイス文書の変更履歴を管理する番号	ram:PreviousRevisionID	0..1	rsm:CIIHExchangedDocument/ram:PreviousRevisionID
36	ヘッダ部	UN01005875	BBIE	インボイス文書類型コード	インボイス文書の類型（単一文書日本円取引、単一文書外貨建て取引、統合文書日本円取引等）を識別するコード\nデフォルトは「単一文書日本円取引」	ram:CategoryCode	1..1	rsm:CIIHExchangedDocument/ram:CategoryCode
37	ヘッダ部	UN01014636	BBIE	インボイス文書サブタイプコード	地域固有の文書のタイプを識別するコード\nデフォルトは「合算請求書パターン１」	ram:SubtypeCode	1..1	rsm:CIIHExchangedDocument/ram:SubtypeCode
38	ヘッダ部	UN01005876	ASBIE	インボイス文書／注釈グループ	インボイス文書に含まれる注釈。	ram:IncludedCINote	0..n	rsm:CIIHExchangedDocument/ram:IncludedCINote
39	ヘッダ部	UN01005557	ABIE	インボイス文書注釈クラス	インボイス文書の注釈を記述するためのクラス	ram:CINote	 -	
40	ヘッダ部	UN01005558	BBIE	インボイス文書注釈表題	注釈内容の表題を示す。	ram:Subject	0..1	rsm:CIIHExchangedDocument/ram:IncludedCINote/ram:Subject
41	ヘッダ部	UN01005560	BBIE	インボイス文書注釈内容	注釈項目毎の内容情報を入力するフリースペース。	ram:Content	0..1	rsm:CIIHExchangedDocument/ram:IncludedCINote/ram:Content
42	ヘッダ部	UN01005562	BBIE	インボイス文書注釈識別子	注釈の識別番号	ram:ID	0..1	rsm:CIIHExchangedDocument/ram:IncludedCINote/ram:ID
43	ヘッダ部	UN01012702	ASBIE	インボイス文書／参照文書グループ	インボイス文書が参照する文書のグループ	ram:ReferenceCIReferencedDocument	0..n	rsm:CIIHExchangedDocument/ram:ReferenceCIReferencedDocument
44	ヘッダ部	UN01005579	ABIE	（鑑ヘッダ参照）文書クラス	インボイス文書が参照する文書クラス	ram:CIReferencedDocument	－	
45	ヘッダ部	UN01005580	BBIE	（鑑ヘッダ参照）文書番号	インボイス文書が参照する参照文書の番号	ram:IssuerAssignedID	1..1	rsm:CIIHExchangedDocument/ram:ReferenceCIReferencedDocument/ram:IssuerAssignedID
46	ヘッダ部	UN01005582	BBIE	（鑑ヘッダ参照）文書発行日	インボイス文書が参照する参照文書の発行日	ram:IssueDateTime	0..1	rsm:CIIHExchangedDocument/ram:ReferenceCIReferencedDocument/ram:IssueDateTime
47	ヘッダ部	UN01005586	BBIE	（鑑ヘッダ参照）文書参照タイプコード	この調整で参照する前回インボイス文書の参照タイプを指定するコード　（デフォルト属性）OI  (Previous invoice number)	ram:ReferenceTypeCode	1..1	rsm:CIIHExchangedDocument/ram:ReferenceCIReferencedDocument/ram:ReferenceTypeCode
48	ヘッダ部	UN01005588	BBIE	（鑑ヘッダ参照）文書履歴番号	インボイス文書が参照する文書の変更履歴を管理する番号。	ram:RevisionID	0..1	rsm:CIIHExchangedDocument/ram:ReferenceCIReferencedDocument/ram:RevisionID
49	ヘッダ部	UN01009672	BBIE	（鑑ヘッダ参照）文書タイプコード	インボイス文書が参照する参照文書の文書タイプを識別するコード	ram:TypeCode	1..1	rsm:CIIHExchangedDocument/ram:ReferenceCIReferencedDocument/ram:TypeCode
50	ヘッダ部	UN01011455	BBIE	（鑑ヘッダ参照）文書添付ファイル	インボイス文書の添付バイナリファイルの有無を識別するコード\nなしの場合はNULL（デファクト）\nありの場合はヘッダの添付バイナリファイル識別子（UN01006015）を指定する。	ram:AttachmentBinaryObject	0..1	rsm:CIIHExchangedDocument/ram:ReferenceCIReferencedDocument/ram:AttachmentBinaryObject
51	ヘッダ部	UN01014899	BBIE	（鑑ヘッダ参照）文書サブタイプコード	インボイス文書が参照する参照文書のサブタイプコード	ram:SubtypeCode	0..1	rsm:CIIHExchangedDocument/ram:ReferenceCIReferencedDocument/ram:SubtypeCode
52	ヘッダ部	UN01015490	ASBIE	付加文書／添付ファイルグループ	参照文書の添付バイナリファイルに関するグループ	ram:AttachedSpecifiedBinaryFile	0..n	rsm:CIIHExchangedDocument/ram:AttachedSpecifiedBinaryFile
53	ヘッダ部	UN01006014	ABIE	添付バイナリファイルクラス	添付バイナリファイルを記述するためのクラス	ram:SpecifiedBinaryFile	－	
54	ヘッダ部	UN01006015	BBIE	添付バイナリファイル識別子	添付バイナリファイルの識別子	ram:ID	0..1	rsm:CIIHExchangedDocument/ram:AttachedSpecifiedBinaryFile/ram:ID
55	ヘッダ部	UN01006019	BBIE	添付バイナリファイル名	添付バイナリファイルの名称	ram:FileName	0..1	rsm:CIIHExchangedDocument/ram:AttachedSpecifiedBinaryFile/ram:FileName
56	ヘッダ部	UN01006020	BBIE	添付バイナリファイルURI識別子	添付バイナリファイルの保管URI識別子	ram:URIID	0..1	rsm:CIIHExchangedDocument/ram:AttachedSpecifiedBinaryFile/ram:URIID
57	ヘッダ部	UN01006021	BBIE	添付バイナリファイルのMIMEコード	添付バイナリファイルのMIMEコード	ram:MIMECode	1..1	rsm:CIIHExchangedDocument/ram:AttachedSpecifiedBinaryFile/ram:MIMECode
58	ヘッダ部	UN01006026	BBIE	添付バイナリファイルの説明文	添付バイナリファイルの説明文	ram:Description	0..1	rsm:CIIHExchangedDocument/ram:AttachedSpecifiedBinaryFile/ram:Description
59	ヘッダ部	UN01005936	ASMA	インボイス文書取引内容クラス	インボイス文書情報で伝達される取引内容に関する情報からなるクラス。	rsm:CIIHSupplyChainTradeTransaction	1..1	rsm:CIIHSupplyChainTradeTransaction
60	ヘッダ部	UN01005937	ASBIE	インボイス文書取引内容／契約グループ	インボイス文書取引に適用される契約に関するグループ。	ram:ApplicableCIIHSupplyChainTradeAgreement	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement
61	ヘッダ部	UN01005878	ABIE	インボイス文書契約クラス	インボイス文書に関する契約に関する情報からなるクラス。	ram:CIIHSupplyChainTradeAgreement	－	
62	ヘッダ部	UN01005879	ASBIE	インボイス文書契約／受注者グループ	受注者に関するグループ。	ram:SellerCITradeParty	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty
63	ヘッダ部	UN01005756	ABIE	受注者クラス	受注者に関する情報からなるクラス。	ram:CITradeParty	－	
64	ヘッダ部	UN01005757	BBIE	受注者識別子	注文を受ける企業/工場・事業所・事業部門等を表す識別子。デフォルトはデータなし。	ram:ID	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:ID
65	ヘッダ部	UN01005758	BBIE	受注者国際企業識別子	注文を受ける企業を表す国際企業識別子。	ram:GlobalID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:GlobalID
66	ヘッダ部	UN01005759	BBIE	受注者名称	注文を受ける企業/工場・事業所・事業部門等を表す名称。適格請求書、または区分記載請求書を発行する事業者名。	ram:Name	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:Name
67	ヘッダ部	UN01013039	BBIE	適格請求書発行事業者登録番号	国税庁へ登録された適格請求書発行事業者登録番号（区分記載請求書発行者についてはなし）\nT1234567890123	ram:RegisteredID	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:RegisteredID
68	ヘッダ部	UN01012925	BBIE	受注者タイプコード	適格請求書発行事業者の課税区分を識別するコード	ram:TypeCode	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:TypeCode
69	ヘッダ部	UN01005761	ASBIE	受注者／連絡先グループ	受注者の連絡先に関するグループ	ram:DefinedCITradeContact	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact
70	ヘッダ部	UN01005718	ABIE	受注者連絡先クラス	連絡先に関する情報からなるクラス。	ram:CITradeContact	－	
71	ヘッダ部	UN01005719	BBIE	受注部門識別子	受注者の受注部門を表す識別子。	ram:ID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:ID
72	ヘッダ部	UN01005720	BBIE	受注者担当名	受注者連絡先の個人の、文字で表現された名前。	ram:PersonName	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:PersonName
73	ヘッダ部	UN01005721	BBIE	受注者部門名	受注者の受注部門の名称。	ram:DepartmentName	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:DepartmentName
74	ヘッダ部	UN01005725	BBIE	受注者担当識別子	受注者個人を表す識別子	ram:PersonID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:PersonID
75	ヘッダ部	UN01005726	ASBIE	連絡先／電話情報グループ	連絡先の電話に関するグループ。	ram:TelephoneCIUniversalCommunication	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:TelephoneCIUniversalCommunication
76	ヘッダ部	UN01005857	ABIE	電話通信クラス	通信（電話）に関する情報からなるクラス。	ram:CIUniversalCommunication	－	
77	ヘッダ部	UN01005860	BBIE	受注者電話番号	受注者の電話番号。	ram:CompleteNumber	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:TelephoneCIUniversalCommunication/ram:CompleteNumber
78	ヘッダ部	UN01005729	ASBIE	連絡先／FAX情報グループ	連絡先のFAXに関するグループ。	ram:FaxCIUniversalCommunication	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:FaxCIUniversalCommunication
79	ヘッダ部	UN01005857	ABIE	FAX通信クラス	通信（FAX）に関する情報からなるクラス。	ram:CIUniversalCommunication	－	
80	ヘッダ部	UN01005860	BBIE	受注者FAX番号	受注者のFAX番号	ram:CompleteNumber	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:FaxCIUniversalCommunication/ram:CompleteNumber
81	ヘッダ部	UN01005730	ASBIE	連絡先／電子メール情報グループ	連絡先の電子メールに関するグループ。	ram:EmailURICIUniversalCommunication	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:EmailURICIUniversalCommunication
82	ヘッダ部	UN01005857	ABIE	電子メール通信クラス	通信（Email）に関する情報からなるクラス。	ram:CIUniversalCommunication	－	
83	ヘッダ部	UN01005858	BBIE	受注者メールアドレス	受注者の電子メールアドレス。	ram:URIID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:DefinedCITradeContact/ram:EmailURICIUniversalCommunication/ram:URIID
84	ヘッダ部	UN01005762	ASBIE	受注者／住所グループ	受注者の住所に関するグループ。	ram:PostalCITradeAddress	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress
85	ヘッダ部	UN01005687	ABIE	受注者住所クラス	受注者住所に関する情報からなるクラス。	ram:CITradeAddress	－	
86	ヘッダ部	UN01005689	BBIE	受注者郵便番号	受注者の郵便番号。	ram:PostcodeCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:PostcodeCode
87	ヘッダ部	UN01005692	BBIE	受注者住所1	受注者の住所1行目。	ram:LineOne	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:LineOne
88	ヘッダ部	UN01005693	BBIE	受注者住所2	受注者の住所2行目。	ram:LineTwo	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:LineTwo
89	ヘッダ部	UN01005694	BBIE	受注者住所3	受注者の住所3行目。	ram:LineThree	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:LineThree
90	ヘッダ部	UN01005700	BBIE	受注者国識別子	受注者の国ID。デフォルトは「JP」	ram:CountryID	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:PostalCITradeAddress/ram:CountryID
91	ヘッダ部	UN01005763	ASBIE	送信者／国際アドレスグループ	送信者の国際アドレスグループ	ram:URICIUniversalCommunication	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:URICIUniversalCommunication
92	ヘッダ部	UN01005857	ABIE	国際アドレスクラス	国際アドレスクラス\n（JP-PINTのアドレス方式に対応）	ram:CIUniversalCommunication	－	
93	ヘッダ部	UN01005859	BBIE	国際アドレス登録機関コード	JP-PINT対応国際アドレス登録機関のコード	ram:ChannelCode	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:URICIUniversalCommunication/ram:ChannelCode
94	ヘッダ部	UN01005860	BBIE	国際アドレス	jp-pint対応国際アドレス番号	ram:CompleteNumber	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerCITradeParty/ram:URICIUniversalCommunication/ram:CompleteNumber
95	ヘッダ部	UN01005880	ASBIE	インボイス文書契約／発注者グループ	発注者に関するグループ。	ram:BuyerCITradeParty	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty
96	ヘッダ部	UN01005756	ABIE	発注者クラス	発注者に関する情報からなるクラス。	ram:CITradeParty	－	
97	ヘッダ部	UN01005757	BBIE	発注者識別子	注文を行う企業/工場・事業所・事業部門等を表す識別子。デフォルトはデータなし。	ram:ID	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:ID
98	ヘッダ部	UN01005758	BBIE	発注者国際企業識別子	注文を行う企業を表す国際企業識別子。	ram:GlobalID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:GlobalID
99	ヘッダ部	UN01005759	BBIE	発注者名称	発注を行う企業/工場・事業所・事業部門等の名称	ram:Name	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:Name
100	ヘッダ部	UN01013039	BBIE	適格請求書発行事業者登録番号	登録された発注者の適格請求書発行事業者登録番号\n（免税事業者についてはなし）	ram:RegisteredID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:RegisteredID
101	ヘッダ部	UN01012925	BBIE	発注者タイプコード	適格請求書発行事業者の課税区分を識別するコード	ram:TypeCode	1..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:TypeCode
102	ヘッダ部	UN01005761	ASBIE	発注者／連絡先グループ	発注者の連絡先に関するグループ	ram:DefinedCITradeContact	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact
103	ヘッダ部	UN01005718	ABIE	発注者連絡先クラス	連絡先に関する情報からなるクラス。	ram:CITradeContact	 -	
104	ヘッダ部	UN01005719	BBIE	発注者部門識別子	発注者の発注部門を表す識別子。	ram:ID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:ID
105	ヘッダ部	UN01005720	BBIE	発注者担当名	発注者の発注担当者の名称	ram:PersonName	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:PersonName
106	ヘッダ部	UN01005721	BBIE	発注者部門名	発注者の発注部門の名称。	ram:DepartmentName	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:DepartmentName
107	ヘッダ部	UN01005725	BBIE	発注者担当識別子	発注者個人を表す識別子	ram:PersonID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:PersonID
108	ヘッダ部	UN01005726	ASBIE	連絡先／電話情報グループ	連絡先の電話に関するグループ。	ram:TelephoneCIUniversalCommunication	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:TelephoneCIUniversalCommunication
109	ヘッダ部	UN01005857	ABIE	電話通信クラス	通信（電話）に関する情報からなるクラス。	ram:CIUniversalCommunication	－	
110	ヘッダ部	UN01005860	BBIE	発注者電話番号	発注者の電話番号。	ram:CompleteNumber	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:TelephoneCIUniversalCommunication/ram:CompleteNumber
111	ヘッダ部	UN01005729	ASBIE	連絡先／FAX情報グループ	連絡先のFAXに関するグループ。	ram:FaxCIUniversalCommunication	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:FaxCIUniversalCommunication
112	ヘッダ部	UN01005857	ABIE	FAX通信クラス	通信（FAX）に関する情報からなるクラス。	ram:CIUniversalCommunication	－	
113	ヘッダ部	UN01005860	BBIE	発注者FAX番号	発注者のFAX番号	ram:CompleteNumber	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:FaxCIUniversalCommunication/ram:CompleteNumber
114	ヘッダ部	UN01005730	ASBIE	連絡先／電子メール情報グループ	連絡先の電子メールに関するグループ。	ram:EmailURICIUniversalCommunication	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:EmailURICIUniversalCommunication
115	ヘッダ部	UN01005857	ABIE	電子メール通信クラス	通信（電子メール）に関する情報からなるクラス。	ram:CIUniversalCommunication	－	
116	ヘッダ部	UN01005858	BBIE	発注者メールアドレス	発注者の電子メールアドレス。	ram:URIID	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:DefinedCITradeContact/ram:EmailURICIUniversalCommunication/ram:URIID
117	ヘッダ部	UN01005762	ASBIE	発注者／住所グループ	発注者の住所に関するグループ。	ram:PostalCITradeAddress	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:PostalCITradeAddress
118	ヘッダ部	UN01005687	ABIE	発注者住所クラス	発注者住所に関する情報からなるクラス。	ram:CITradeAddress	－	
119	ヘッダ部	UN01005689	BBIE	発注者郵便番号	発注者の郵便番号。	ram:PostcodeCode	0..1	rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerCITradeParty/ram:PostalCITradeAddress/ram:PostcodeCode
